title,release_date,popularity,vote_average,runtime,genres,on_netflix
Losing Isaiah,1995-03-17,7.698526,6.4,106.0,Drama,False
The Madness of King George,1994-12-28,4.81307,6.7,107.0,"Comedy, Drama, History",False
Mary Shelley's Frankenstein,1994-11-04,14.287753,6.1,123.0,"Drama, Horror, Science Fiction, Romance",False
Man of the House,1995-03-03,2.558118,5.1,96.0,"Action, Comedy, Family",False
Mixed Nuts,1994-12-21,2.899608,5.2,97.0,"Comedy, Drama, Romance",False
Milk Money,1994-08-31,3.770115,5.6,108.0,"Comedy, Romance",False
Miracle on 34th Street,1994-11-18,5.831622,6.4,114.0,"Fantasy, Drama, Family",False
Miami Rhapsody,1995-01-27,1.137266,5.6,95.0,"Comedy, Romance",False
My Family,1995-05-03,3.121288,7.0,128.0,"Comedy, Drama",False
Murder in the First,1995-01-20,9.518564,6.9,122.0,"Crime, Drama",False
Nobody's Fool,1994-12-23,2.891269,7.0,110.0,"Drama, Comedy",False
Nell,1994-12-23,5.930957,6.1,112.0,"Drama, Thriller",False
New Jersey Drive,1995-04-19,0.629955,6.9,98.0,"Crime, Drama",False
New York Cop,1993-08-14,0.004537,0.0,93.0,"Action, Thriller, Crime, Drama",False
Beyond Bedlam,1994-04-22,0.426952,4.0,89.0,Horror,False
Nemesis 2 - Nebula,1995-09-26,1.466491,4.6,83.0,"Science Fiction, Action, Thriller",False
Nina Takes a Lover,1995-03-03,0.769522,7.4,100.0,"Drama, Romance",False
Natural Born Killers,1994-08-25,11.226856,6.9,119.0,"Crime, Thriller, Drama",False
Only You,1994-09-17,4.936761,6.4,115.0,"Comedy, Drama, Romance",False
Once Were Warriors,1994-09-02,4.025276,7.6,99.0,Drama,False
Poison Ivy II: Lily,1996-01-16,6.448039,4.6,106.0,"Drama, Romance, Thriller",False
Outbreak,1995-03-10,13.676444,6.4,127.0,"Action, Drama, Science Fiction, Thriller",False
Leon: The Professional,1994-09-14,20.477329,8.2,110.0,"Thriller, Crime, Drama",False
The Perez Family,1995-05-12,1.433544,6.6,113.0,"Comedy, Drama, Romance",False
A Pyromaniac's Love Story,1995-04-28,0.463307,7.0,94.0,"Comedy, Drama, Romance",False
Pulp Fiction,1994-09-10,140.950236,8.3,154.0,"Thriller, Crime",True
Panther,1995-11-10,7.160149,6.4,124.0,Drama,False
Pushing Hands,1992-02-01,1.638622,6.1,105.0,"Comedy, Drama",False
Priest,1994-01-01,1.881932,6.4,98.0,"Drama, Romance",False
Quiz Show,1994-09-16,7.772505,7.1,133.0,"History, Drama",False
Picture Bride,1995-05-05,1.296912,7.4,94.0,"Drama, History",False
Queen Margot,1994-05-13,4.405405,7.0,162.0,"Drama, History",False
The Quick and the Dead,1995-02-09,7.54701,6.2,107.0,"Action, Western",False
Roommates,1995-03-01,3.395867,6.4,108.0,"Drama, Comedy",False
Prêt-à-Porter,1994-12-23,6.259433,5.3,133.0,"Drama, Comedy",False
Three Colors: Red,1994-05-27,7.832755,7.8,99.0,"Drama, Mystery, Romance",False
Three Colors: Blue,1993-01-10,8.843517,7.7,98.0,"Drama, Music, Mystery",False
Three Colors: White,1994-01-26,6.5898,7.3,91.0,"Comedy, Drama, Mystery",False
"Red Firecracker, Green Firecracker",1994-10-14,0.078257,7.0,111.0,Drama,False
Rent-a-Kid,1995-01-01,1.155255,5.1,85.0,"Comedy, Family, TV Movie",False
Relative Fear,1995-10-03,0.499601,4.7,90.0,"Horror, Drama",False
Stuart Saves His Family,1995-04-12,1.390885,5.0,95.0,"Comedy, Drama",False
The Swan Princess,1994-11-18,8.910462,6.5,89.0,Animation,False
The Secret of Roan Inish,1994-01-01,1.750481,6.1,97.0,"Drama, Family, Fantasy",False
The Specialist,1994-10-07,10.388183,5.5,110.0,"Action, Thriller",False
Stargate,1994-10-27,13.328924,6.8,121.0,"Action, Adventure, Science Fiction",True
The Santa Clause,1994-11-10,9.665424,6.3,97.0,"Fantasy, Drama, Comedy, Family",False
The Shawshank Redemption,1994-09-23,51.645403,8.5,142.0,"Drama, Crime",False
Shallow Grave,1994-12-22,8.223026,7.0,92.0,"Crime, Thriller",False
Suture,1993-09-14,1.298224,6.0,96.0,"Drama, Thriller",False
Strawberry and Chocolate,1993-01-01,1.777197,7.1,108.0,"Comedy, Drama",False
Swimming with Sharks,1994-09-10,5.869261,6.7,101.0,"Crime, Comedy",False
The Sum of Us,1994-07-12,1.407427,6.0,100.0,"Comedy, Drama, Romance",False
Senior Trip,1995-09-08,5.05806,5.7,91.0,Comedy,False
To Live,1994-06-30,5.260627,7.7,125.0,"Drama, Romance, War",False
Tank Girl,1995-03-31,7.602087,5.5,98.0,"Action, Comedy, Fantasy, Science Fiction",False
